D0	D1				D2				D3			D31			D4			D41			D5	D6
1	2/1/1991		2/6/1991		15.00		0.04170		18.00		0.05000		6	2
2	2/7/1991		2/28/1991		45.00		0.12500		48.00		0.15280		24	2
3	3/1/1991		3/31/1991		45.00		0.12500		48.00		0.13330		30	3
4	4/1/1991		4/30/1991		45.00		0.12500		48.00		0.13330		30	4
5	5/1/1991		5/31/1991		45.00		0.12500		48.00		0.13330		30	5
6	6/1/1991		6/9/1991		45.00		0.12500		48.00		0.13330		9	6
7	6/10/1991		6/30/1991		52.00		0.14440		55.00		0.15280		21	6
8	7/1/1991	7/9/1991	52.00	0.14440	55.00	0.15280	9	7
9	7/10/1991	7/31/1991	47.00	0.13060	50.00	0.13890	21	7
10	8/1/1991	8/20/1991	47.00	0.13060	50.00	0.13890	20	8
11	8/21/1991	8/31/1991	54.00	0.15000	57.00	0.15830	10	8
12	9/1/1991	9/30/1991	54.00	0.15000	57.00	0.15830	30	9
13	10/1/1991	10/31/1991	54.00	0.15000	57.00	0.15830	30	10
14	11/1/1991	11/30/1991	54.00	0.15000	57.00	0.15830	30	11
15	12/1/1991	12/31/1991	54.00	0.15000	57.00	0.15830	30	12
16	1/1/1992	1/31/1992	54.00	0.15000	57.00	0.15830	30	1
17	2/1/1992	2/29/1992	54.00	0.15000	57.00	0.15830	30	2
18	3/1/1992	3/31/1992	54.00	0.15000	57.00	0.15830	30	3
19	4/1/1992	4/30/1992	54.00	0.15000	57.00	0.15830	30	4
20	5/1/1992	5/31/1992	54.00	0.15000	57.00	0.15830	30	5
21	6/1/1992	6/30/1992	54.00	0.15000	57.00	0.15830	30	6
22	7/1/1992	7/5/1992	54.00	0.15000	57.00	0.15830	5	7
23	7/6/1992	7/31/1992	49.00	0.13610	52.00	0.14440	25	7
24	8/1/1992	8/2/1992	49.00	0.13610	52.00	0.14440	2	8
25	8/3/1992	8/31/1992	45.00	0.12500	48.00	0.13330	28	8
26	9/1/1992	9/14/1992	45.00	0.12500	48.00	0.13330	14	9
27	9/15/1992	9/30/1992	41.00	0.11390	44.00	0.12220	16	9
28	10/1/1992	10/31/1992	41.00	0.11390	44.00	0.12220	30	10
29	11/1/1992	11/30/1992	41.00	0.11390	44.00	0.12220	30	11
30	12/1/1992	12/31/1992	41.00	0.11390	44.00	0.12220	30	12
31	1/1/1993	1/31/1993	47.00	0.13060	50.00	0.13890	30	1
32	2/1/1993	2/21/1993	47.00	0.13060	50.00	0.13890	21	2
33	2/22/1993	2/28/1993	51.00	0.14170	54.00	0.15000	9	2
34	3/1/1993	3/31/1993	51.00	0.14170	54.00	0.15000	30	3
35	4/1/1993	4/30/1993	51.00	0.14170	54.00	0.15000	30	4
36	5/1/1993	5/31/1993	51.00	0.14170	54.00	0.15000	30	5
37	6/1/1993	6/3/1993	51.00	0.14170	54.00	0.15000	3	6
38	6/4/1993	6/30/1993	48.00	0.13330	51.00	0.14170	27	6
39	7/1/1993	7/31/1993	48.00	0.13330	51.00	0.14170	30	7
40	8/1/1993	8/22/1993	48.00	0.13330	51.00	0.14170	22	8
41	8/23/1993	8/31/1993	44.00	0.12220	47.00	0.13060	8	8
42	9/1/1993	9/30/1993	44.00	0.12220	47.00	0.13060	30	9
43	10/1/1993	10/30/1993	44.00	0.12220	47.00	0.13060	30	10
44	10/31/1993	10/31/1993	47.00	0.13060	50.00	0.13890	0	10
45	11/1/1993	11/9/1993	47.00	0.13060	50.00	0.13890	9	11
46	11/10/1993	11/30/1993	52.00	0.14440	55.00	0.15280	21	11
47	12/1/1993	12/31/1993	52.00	0.14440	55.00	0.15280	30	12
48	1/1/1994	1/9/1994	52.00	0.14440	55.00	0.15278	9	1
